candidate,description,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate,avg_hold_bars
expanded_v1_082_ex16_wave1_balanced,回数増加候補: 戻し50%-82%、entry hour 1/6除外、1波Balanced,88.0,61.36363636363637,44.282945103371716,0.5032152852655877,2.2657571492588957,4.174137463355834,4.0,61.36363636363637,15.340909090909092
standard_v1_wave1_balanced,回数増加候補: 1波2.7ATR以上、0.32ATR/本以上、28本以内,73.0,64.38356164383562,42.31353648402554,0.5796374860825416,2.5869594226585915,3.128434542842495,3.0,64.38356164383562,14.849315068493151
standard_v1_wave1_quality,実戦標準 + 1波剪定: 1波3.0ATR以上、0.35ATR/本以上、24本以内,69.0,65.21739130434783,41.47021784041192,0.6010176498610423,2.686277060522746,3.128434542842495,3.0,65.21739130434783,15.46376811594203
standard_v1_wave1_loose,回数増加候補: 1波2.5ATR以上、0.30ATR/本以上、30本以内,75.0,62.66666666666667,40.20390147258625,0.5360520196344833,2.3972830899048523,4.163107198443356,4.0,62.66666666666667,14.96
standard_v1_v04_filtered,旧標準比較（1波剪定なし）: 戻し50%-78.6%、entry hour 1/6/14除外,76.0,61.8421052631579,39.18136746695531,0.5155443087757278,2.315012007515772,4.163107198443356,4.0,61.8421052631579,14.81578947368421
simple_v04_less_fit,旧標準の過剰最適化を弱めた比較（1波剪定なし）: 戻し50%-78.6%、entry hour 1/6除外,79.0,60.75949367088608,38.631190794329186,0.48900241511809095,2.213595538829523,4.163107198443356,4.0,60.75949367088608,15.367088607594937
conservative_v03_strict,旧保守比較（1波剪定なし）: 戻し50%-76.4%、entry hour 1/6/11/14除外,69.0,62.31884057971014,36.42959268671642,0.5279651114016872,2.365854503087198,4.163107198443356,4.0,62.31884057971014,14.753623188405797
standard_a_h4_not_oppose,旧標準比較（1波剪定なし）: H4逆行なし,44.0,61.36363636363637,22.192564799537752,0.5043764727167671,2.2786632200773087,4.182526010812811,4.0,61.36363636363637,17.636363636363637
standard_shallow_no_h4,旧標準比較（1波剪定なし）: 戻し50%-61.8%,25.0,68.0,17.04573562783832,0.6818294251135327,3.1473503517950125,3.1109783042280323,3.0,68.0,16.2
standard_wave1_quality_shallow,1波剪定 + A+浅い押し: 戻し50%-61.8%,23.0,69.56521739130434,16.60756904043256,0.7220682191492417,3.4057228391966707,2.0822313397230516,2.0,69.56521739130434,16.043478260869566
standard_h4_and_shallow_compare,旧標準比較（1波剪定なし）: H4逆行なし + 戻し50%-61.8%,16.0,62.5,8.784834532257907,0.5490521582661192,2.493661465955875,2.082231339723051,2.0,62.5,19.6875
