No,試したこと,なぜダメだったか,教訓
A1,Sai H1 全手法そのまま,4手法混在で平均PF 1.05,弱い手法も全部混ぜると全体が薄まる
A2,H4 急落V字 単独売買,フィルタなしで PF 0.72,V字だけでは方向確度不足
A3,TrendBreakV1 + ピラミディング 2-5,DD が指数的に増加,1エントリーが正解
A4,エリオット5波目 LOOSE版,DD 34R / PF 1.23,エリオット風はDD大
A5,V字フィボ単独 (フィルタ無し),"PF 1.07-1.30, DD 30-50R",V字単独はノイズ多
A6,Synapse v0 (エリオット H4 機械化),-42R / PF 0.85,機械化が難しい
A7,H1 短期V字 (REC1.0),"DD 9-12R, PF 1.81",H4 の方が圧倒的に優秀
A8,騙し回避フィルタ 3条件以上重ね,Trades 激減で実用厳しい,過剰フィルタは益が出ない
A9,AUDJPY 採用,"PF 0.97, DD 18R",この通貨では機能しない
A10,非フィボ系ツール (RSI/MA/VWAP),MACD+BB 以下,MACD+BB の組合せが正解
